year,sex,ethnicity,population,,,,
2019,both,bumi_malay,16534.9,,,,
2019,both,bumi_other,3834.7,,,,
2019,both,chinese,6698.6,,,,
2019,both,indian,2014.8,,,,
2019,both,other_citizen,299.7,,,,
2019,both,other_noncitizen,3140.4,,,,
2019,female,overall,15758.2,,,,
2019,female,bumi_malay,8215.4,,,,
2019,female,bumi_other,1891.3,,,,
2019,female,chinese,3265.2,,,,
2019,female,indian,1015.1,,,,
2019,female,other_citizen,146.2,,,,
2019,female,other_noncitizen,1225,,,,
2019,male,overall,16764.9,,,,
2019,male,bumi_malay,8319.5,,,,
2019,male,bumi_other,1943.3,,,,
2019,male,chinese,3433.5,,,,
2019,male,indian,999.7,,,,
2019,male,other_citizen,153.5,,,,
2019,male,other_noncitizen,1915.4,,,,
2020,both,overall,32447.4,,,,32447.4
2020,both,bumi_malay,16913,,,,
2020,both,bumi_other,3736.5,,,,
2020,both,chinese,6892.4,,,,
2020,both,indian,1998.8,,,,
2020,both,other_citizen,215.6,,,,
2020,both,other_noncitizen,2691.1,,,,
2020,female,overall,15481.2,,,,
2020,female,bumi_malay,8349.3,,,,
2020,female,bumi_other,1848.5,,,,
2020,female,chinese,3374.6,,,,
2020,female,indian,991.3,,,,
2020,female,other_citizen,98.9,,,,
2020,female,other_noncitizen,818.6,,,,
2020,male,overall,16966.2,,,,
2020,male,bumi_malay,8563.7,,,,
2020,male,bumi_other,1888.1,,,,
2020,male,chinese,3517.8,,,,
2020,male,indian,1007.4,,,,
2020,male,other_citizen,116.7,,,,
2020,male,other_noncitizen,1872.5,,,,
2021,both,overall,32576.3,,,,32576.3
2021,both,bumi_malay,17248.4,,,,
2021,both,bumi_other,3654,,,,
2021,both,chinese,6891.7,,,,
2021,both,indian,2002.6,,,,
2021,both,other_citizen,220.1,,,,
2021,both,other_noncitizen,2559.5,,,,
2021,female,overall,15575.8,,,,
2021,female,bumi_malay,8513.5,,,,
2021,female,bumi_other,1808.4,,,,
2021,female,chinese,3377.6,,,,
2021,female,indian,994.6,,,,
2021,female,other_citizen,101.2,,,,
2021,female,other_noncitizen,780.5,,,,
2021,male,overall,17000.5,,,,
2021,male,bumi_malay,8734.8,,,,
2021,male,bumi_other,1845.7,,,,
2021,male,chinese,3514.1,,,,
2021,male,indian,1008,,,,
2021,male,other_citizen,118.9,,,,
2021,male,other_noncitizen,1779,,,,
2022,both,overall,32698.1,,,,32698.1
2022,both,bumi_malay,17422,,,,
2022,both,bumi_other,3679.7,,,,
2022,both,chinese,6873.7,,,,
2022,both,indian,1999.9,,,,
2022,both,other_citizen,222.8,,,,
2022,both,other_noncitizen,2500,,,,
2022,female,overall,15658.3,,,,
2022,female,bumi_malay,8602.4,,,,
2022,female,bumi_other,1822,,,,
2022,female,chinese,3372.6,,,,
2022,female,indian,994.8,,,,
2022,female,other_citizen,102.6,,,,
2022,female,other_noncitizen,763.9,,,,
2022,male,overall,17039.8,,,,
2022,male,bumi_malay,8819.5,,,,
2022,male,bumi_other,1857.8,,,,
2022,male,chinese,3501.1,,,,
2022,male,indian,1005.1,,,,
2022,male,other_citizen,120.2,,,,
2022,male,other_noncitizen,1736.1,,,,
2023,both,overall,33401.8,,,,33401.8
2023,both,bumi_malay,17614.7,,,,
2023,both,bumi_other,3726.5,,,,
2023,both,chinese,6866.2,,,,
2023,both,indian,2002.7,,,,
2023,both,other_citizen,226.9,,,,
2023,both,other_noncitizen,2964.8,,,,
2023,female,overall,15929.5,,,,
2023,female,bumi_malay,8700.5,,,,
2023,female,bumi_other,1845.8,,,,
2023,female,chinese,3372.4,,,,
2023,female,indian,997.6,,,,
2023,female,other_citizen,104.7,,,,
2023,female,other_noncitizen,908.5,,,,
2023,male,overall,17472.3,,,,
2023,male,bumi_malay,8914.4,,,,
2023,male,bumi_other,1880.6,,,,
2023,male,chinese,3493.8,,,,
2023,male,indian,1005.1,,,,
2023,male,other_citizen,122.1,,,,
2023,male,other_noncitizen,2056.3,,,,
2024,both,overall,34058.8,,,,34058.8
2024,both,bumi_malay,17808.5,,,,
2024,both,bumi_other,3760.4,,,,
2024,both,chinese,6857.6,,,,
2024,both,indian,2005.5,,,,
2024,both,other_citizen,230.7,,,,
2024,both,other_noncitizen,3396.1,,,,
2024,female,overall,16176.1,,,,
2024,female,bumi_malay,8798.3,,,,
2024,female,bumi_other,1863,,,,
2024,female,chinese,3371.3,,,,
2024,female,indian,1000.2,,,,
2024,female,other_citizen,106.8,,,,
2024,female,other_noncitizen,1036.5,,,,
2024,male,overall,17882.7,,,,
2024,male,bumi_malay,9010,,,,
2024,male,bumi_other,1897.4,,,,
2024,male,chinese,3486.3,,,,
2024,male,indian,1005.4,,,,
2024,male,other_citizen,124,,,,
2024,male,other_noncitizen,2359.6,,,,
