year,sex,ethnicity,population,,,,
1992,both,overall,19067.6,,,,19067.6
1992,both,bumi_malay,9518.4,,,,
1992,both,bumi_other,1940.3,,,,
1992,both,chinese,5099,,,,
1992,both,indian,1438.2,,,,
1992,both,other_citizen,209.3,,,,
1992,both,other_noncitizen,862.4,,,,
1992,female,overall,9380.6,,,,
1992,female,bumi_malay,4744.4,,,,
1992,female,bumi_other,951.4,,,,
1992,female,chinese,2510.3,,,,
1992,female,indian,713,,,,
1992,female,other_citizen,103.6,,,,
1992,female,other_noncitizen,357.9,,,,
1992,male,overall,9687,,,,
1992,male,bumi_malay,4773.8,,,,
1992,male,bumi_other,989.1,,,,
1992,male,chinese,2588.7,,,,
1992,male,indian,725.2,,,,
1992,male,other_citizen,105.7,,,,
1992,male,other_noncitizen,504.5,,,,
1993,both,overall,19601.5,,,,19601.5
1993,both,bumi_malay,9784.7,,,,
1993,both,bumi_other,2019,,,,
1993,both,chinese,5181.4,,,,
1993,both,indian,1470,,,,
1993,both,other_citizen,220,,,,
1993,both,other_noncitizen,926.4,,,,
1993,female,overall,9638.1,,,,
1993,female,bumi_malay,4873.4,,,,
1993,female,bumi_other,990.8,,,,
1993,female,chinese,2547.8,,,,
1993,female,indian,729.3,,,,
1993,female,other_citizen,108.8,,,,
1993,female,other_noncitizen,388,,,,
1993,male,overall,9963.4,,,,
1993,male,bumi_malay,4911.2,,,,
1993,male,bumi_other,1028.2,,,,
1993,male,chinese,2633.6,,,,
1993,male,indian,740.7,,,,
1993,male,other_citizen,111.3,,,,
1993,male,other_noncitizen,538.4,,,,
1994,both,overall,20141.8,,,,20141.8
1994,both,bumi_malay,10056.6,,,,
1994,both,bumi_other,2098,,,,
1994,both,chinese,5264.4,,,,
1994,both,indian,1501.8,,,,
1994,both,other_citizen,228.5,,,,
1994,both,other_noncitizen,992.5,,,,
1994,female,overall,9898.8,,,,
1994,female,bumi_malay,5005.5,,,,
1994,female,bumi_other,1030.5,,,,
1994,female,chinese,2585.1,,,,
1994,female,indian,745.7,,,,
1994,female,other_citizen,112.9,,,,
1994,female,other_noncitizen,419.1,,,,
1994,male,overall,10243,,,,
1994,male,bumi_malay,5051,,,,
1994,male,bumi_other,1067.5,,,,
1994,male,chinese,2679.3,,,,
1994,male,indian,756.2,,,,
1994,male,other_citizen,115.6,,,,
1994,male,other_noncitizen,573.4,,,,
1995,both,overall,20681.8,,,,20681.8
1995,both,bumi_malay,10333.5,,,,
1995,both,bumi_other,2175.6,,,,
1995,both,chinese,5345.7,,,,
1995,both,indian,1532.5,,,,
1995,both,other_citizen,236.3,,,,
1995,both,other_noncitizen,1058.2,,,,
1995,female,overall,10160.3,,,,
1995,female,bumi_malay,5140.3,,,,
1995,female,bumi_other,1069.9,,,,
1995,female,chinese,2621.5,,,,
1995,female,indian,761.5,,,,
1995,female,other_citizen,116.8,,,,
1995,female,other_noncitizen,450.3,,,,
1995,male,overall,10521.5,,,,
1995,male,bumi_malay,5193.2,,,,
1995,male,bumi_other,1105.6,,,,
1995,male,chinese,2724.2,,,,
1995,male,indian,771,,,,
1995,male,other_citizen,119.6,,,,
1995,male,other_noncitizen,607.9,,,,
1996,both,overall,21222.6,,,,
1996,both,bumi_malay,10611.3,,,,21222.6
1996,both,bumi_other,2253.6,,,,
1996,both,chinese,5426.3,,,,
1996,both,indian,1563.1,,,,
1996,both,other_citizen,243.9,,,,
1996,both,other_noncitizen,1124.4,,,,
1996,female,overall,10422.3,,,,
1996,female,bumi_malay,5275.5,,,,
1996,female,bumi_other,1109.4,,,,
1996,female,chinese,2657.8,,,,
1996,female,indian,777.2,,,,
1996,female,other_citizen,120.7,,,,
1996,female,other_noncitizen,481.7,,,,
1996,male,overall,10800.3,,,,
1996,male,bumi_malay,5335.8,,,,
1996,male,bumi_other,1144.2,,,,
1996,male,chinese,2768.4,,,,
1996,male,indian,785.8,,,,
1996,male,other_citizen,123.5,,,,
1996,male,other_noncitizen,642.6,,,,
1997,both,overall,21769.3,,,,21769.3
1997,both,bumi_malay,10894.8,,,,
1997,both,bumi_other,2330.4,,,,
1997,both,chinese,5506.7,,,,
1997,both,indian,1594.4,,,,
1997,both,other_citizen,251.4,,,,
1997,both,other_noncitizen,1191.6,,,,
1997,female,overall,10687.3,,,,
1997,female,bumi_malay,5413.5,,,,
1997,female,bumi_other,1148.4,,,,
1997,female,chinese,2694,,,,
1997,female,indian,793.3,,,,
1997,female,other_citizen,124.6,,,,
1997,female,other_noncitizen,513.5,,,,
1997,male,overall,11082,,,,
1997,male,bumi_malay,5481.2,,,,
1997,male,bumi_other,1182,,,,
1997,male,chinese,2812.7,,,,
1997,male,indian,801.1,,,,
1997,male,other_citizen,126.9,,,,
1997,male,other_noncitizen,678.1,,,,
1998,both,overall,22333.6,,,,22333.6
1998,both,bumi_malay,11188.6,,,,
1998,both,bumi_other,2408.2,,,,
1998,both,chinese,5588.7,,,,
1998,both,indian,1627.1,,,,
1998,both,other_citizen,259.3,,,,
1998,both,other_noncitizen,1261.7,,,,
1998,female,overall,10961.6,,,,
1998,female,bumi_malay,5557,,,,
1998,female,bumi_other,1188,,,,
1998,female,chinese,2731.1,,,,
1998,female,indian,810.2,,,,
1998,female,other_citizen,128.7,,,,
1998,female,other_noncitizen,546.6,,,,
1998,male,overall,11372,,,,
1998,male,bumi_malay,5631.6,,,,
1998,male,bumi_other,1220.1,,,,
1998,male,chinese,2857.6,,,,
1998,male,indian,816.9,,,,
1998,male,other_citizen,130.6,,,,
1998,male,other_noncitizen,715.2,,,,
1999,both,overall,22909.5,,,,22909.5
1999,both,bumi_malay,11486,,,,
1999,both,bumi_other,2485.5,,,,
1999,both,chinese,5674.8,,,,
1999,both,indian,1661,,,,
1999,both,other_citizen,267.6,,,,
1999,both,other_noncitizen,1334.6,,,,
1999,female,overall,11242.9,,,,
1999,female,bumi_malay,5702.8,,,,
1999,female,bumi_other,1227.7,,,,
1999,female,chinese,2770.8,,,,
1999,female,indian,827.9,,,,
1999,female,other_citizen,133,,,,
1999,female,other_noncitizen,580.7,,,,
1999,male,overall,11666.6,,,,
1999,male,bumi_malay,5783,,,,
1999,male,bumi_other,1258,,,,
1999,male,chinese,2904.2,,,,
1999,male,indian,833.1,,,,
1999,male,other_citizen,134.4,,,,
1999,male,other_noncitizen,753.9,,,,
2000,both,overall,23494.9,,,,23494.9
2000,both,bumi_malay,11785.9,,,,
2000,both,bumi_other,2563.5,,,,
2000,both,chinese,5761.6,,,,
2000,both,indian,1696.1,,,,
2000,both,other_citizen,274.7,,,,
2000,both,other_noncitizen,1413.1,,,,
2000,female,overall,11529.3,,,,
2000,female,bumi_malay,5850.3,,,,
2000,female,bumi_other,1267.5,,,,
2000,female,chinese,2811.2,,,,
2000,female,indian,845.6,,,,
2000,female,other_citizen,136.8,,,,
2000,female,other_noncitizen,617.9,,,,
2000,male,overall,11965.6,,,,
2000,male,bumi_malay,5935.6,,,,
2000,male,bumi_other,1295.7,,,,
2000,male,chinese,2950.6,,,,
2000,male,indian,850.6,,,,
2000,male,other_citizen,137.9,,,,
2000,male,other_noncitizen,795.2,,,,
2001,both,overall,24030.4,,,,24030.4
2001,both,bumi_malay,12041.5,,,,
2001,both,bumi_other,2632.7,,,,
2001,both,chinese,5849.2,,,,
2001,both,indian,1722.9,,,,
2001,both,other_citizen,276,,,,
2001,both,other_noncitizen,1508.1,,,,
2001,female,overall,11773.1,,,,
2001,female,bumi_malay,5976,,,,
2001,female,bumi_other,1301.1,,,,
2001,female,chinese,2851.4,,,,
2001,female,indian,858.9,,,,
2001,female,other_citizen,137.1,,,,
2001,female,other_noncitizen,648.6,,,,
2001,male,overall,12257.3,,,,
2001,male,bumi_malay,6065.5,,,,
2001,male,bumi_other,1331.6,,,,
2001,male,chinese,2997.8,,,,
2001,male,indian,864,,,,
2001,male,other_citizen,138.9,,,,
2001,male,other_noncitizen,859.5,,,,
2002,both,overall,24542.6,,,,24542.6
2002,both,bumi_malay,12291.6,,,,
2002,both,bumi_other,2702.6,,,,
2002,both,chinese,5923,,,,
2002,both,indian,1748.4,,,,
2002,both,other_citizen,276.6,,,,
2002,both,other_noncitizen,1600.4,,,,
2002,female,overall,12005.5,,,,
2002,female,bumi_malay,6098.8,,,,
2002,female,bumi_other,1335,,,,
2002,female,chinese,2885,,,,
2002,female,indian,871.2,,,,
2002,female,other_citizen,137.2,,,,
2002,female,other_noncitizen,678.3,,,,
2002,male,overall,12537.1,,,,
2002,male,bumi_malay,6192.6,,,,
2002,male,bumi_other,1367.7,,,,
2002,male,chinese,3038.1,,,,
2002,male,indian,877.2,,,,
2002,male,other_citizen,139.4,,,,
2002,male,other_noncitizen,922.1,,,,
2003,both,overall,25038,,,,25038
2003,both,bumi_malay,12532,,,,
2003,both,bumi_other,2772.3,,,,
2003,both,chinese,5994.3,,,,
2003,both,indian,1772.3,,,,
2003,both,other_citizen,277,,,,
2003,both,other_noncitizen,1690.1,,,,
2003,female,overall,12229.9,,,,
2003,female,bumi_malay,6217.5,,,,
2003,female,bumi_other,1368.7,,,,
2003,female,chinese,2917.1,,,,
2003,female,indian,882.9,,,,
2003,female,other_citizen,137.1,,,,
2003,female,other_noncitizen,706.6,,,,
2003,male,overall,12808.1,,,,
2003,male,bumi_malay,6314.5,,,,
2003,male,bumi_other,1403.6,,,,
2003,male,chinese,3077.2,,,,
2003,male,indian,889.4,,,,
2003,male,other_citizen,139.9,,,,
2003,male,other_noncitizen,983.5,,,,
2004,both,overall,25541.6,,,,25541.6
2004,both,bumi_malay,12777.9,,,,
2004,both,bumi_other,2845.9,,,,
2004,both,chinese,6061.5,,,,
2004,both,indian,1796.7,,,,
2004,both,other_citizen,277.4,,,,
2004,both,other_noncitizen,1782.2,,,,
2004,female,overall,12462.8,,,,
2004,female,bumi_malay,6341.1,,,,
2004,female,bumi_other,1405.1,,,,
2004,female,chinese,2948,,,,
2004,female,indian,895.4,,,,
2004,female,other_citizen,137.1,,,,
2004,female,other_noncitizen,736.1,,,,
2004,male,overall,13078.8,,,,
2004,male,bumi_malay,6436.8,,,,
2004,male,bumi_other,1440.8,,,,
2004,male,chinese,3113.5,,,,
2004,male,indian,901.3,,,,
2004,male,other_citizen,140.3,,,,
2004,male,other_noncitizen,1046.1,,,,
2005,both,overall,26045.6,,,,26045.6
2005,both,bumi_malay,13024.4,,,,
2005,both,bumi_other,2923,,,,
2005,both,chinese,6127.3,,,,
2005,both,indian,1819.5,,,,
2005,both,other_citizen,277.4,,,,
2005,both,other_noncitizen,1874,,,,
2005,female,overall,12692.3,,,,
2005,female,bumi_malay,6463,,,,
2005,female,bumi_other,1442.5,,,,
2005,female,chinese,2977.9,,,,
2005,female,indian,906.6,,,,
2005,female,other_citizen,136.9,,,,
2005,female,other_noncitizen,765.4,,,,
2005,male,overall,13353.3,,,,
2005,male,bumi_malay,6561.3,,,,
2005,male,bumi_other,1480.4,,,,
2005,male,chinese,3149.5,,,,
2005,male,indian,912.9,,,,
2005,male,other_citizen,140.6,,,,
2005,male,other_noncitizen,1108.6,,,,
2006,both,overall,26549.8,,,,26549.8
2006,both,bumi_malay,13270.5,,,,
2006,both,bumi_other,3003,,,,
2006,both,chinese,6191.4,,,,
2006,both,indian,1841.6,,,,
2006,both,other_citizen,278.3,,,,
2006,both,other_noncitizen,1965,,,,
2006,female,overall,12922.4,,,,
2006,female,bumi_malay,6585.1,,,,
2006,female,bumi_other,1481.7,,,,
2006,female,chinese,3007.1,,,,
2006,female,indian,917.3,,,,
2006,female,other_citizen,136.9,,,,
2006,female,other_noncitizen,794.3,,,,
2006,male,overall,13627.4,,,,
2006,male,bumi_malay,6685.5,,,,
2006,male,bumi_other,1521.3,,,,
2006,male,chinese,3184.3,,,,
2006,male,indian,924.4,,,,
2006,male,other_citizen,141.2,,,,
2006,male,other_noncitizen,1170.7,,,,
2007,both,overall,27058.4,,,,27058.4
2007,both,bumi_malay,13522,,,,
2007,both,bumi_other,3085.1,,,,
2007,both,chinese,6253.6,,,,
2007,both,indian,1863.3,,,,
2007,both,other_citizen,279.1,,,,
2007,both,other_noncitizen,2055.3,,,,
2007,female,overall,13154.7,,,,
2007,female,bumi_malay,6710.2,,,,
2007,female,bumi_other,1521.9,,,,
2007,female,chinese,3034.8,,,,
2007,female,indian,927.9,,,,
2007,female,other_citizen,137.1,,,,
2007,female,other_noncitizen,822.8,,,,
2007,male,overall,13903.7,,,,
2007,male,bumi_malay,6811.8,,,,
2007,male,bumi_other,1563.3,,,,
2007,male,chinese,3218.6,,,,
2007,male,indian,935.4,,,,
2007,male,other_citizen,142.1,,,,
2007,male,other_noncitizen,1232.5,,,,
2008,both,overall,27567.6,,,,27567.6
2008,both,bumi_malay,13771.7,,,,
2008,both,bumi_other,3171.5,,,,
2008,both,chinese,6314.7,,,,
2008,both,indian,1884.2,,,,
2008,both,other_citizen,280.8,,,,
2008,both,other_noncitizen,2144.7,,,,
2008,female,overall,13388.5,,,,
2008,female,bumi_malay,6834.9,,,,
2008,female,bumi_other,1564.3,,,,
2008,female,chinese,3062.6,,,,
2008,female,indian,938.3,,,,
2008,female,other_citizen,137.5,,,,
2008,female,other_noncitizen,850.9,,,,
2008,male,overall,14179.1,,,,
2008,male,bumi_malay,6936.9,,,,
2008,male,bumi_other,1607.2,,,,
2008,male,chinese,3252.1,,,,
2008,male,indian,945.9,,,,
2008,male,other_citizen,143.2,,,,
2008,male,other_noncitizen,1293.8,,,,
2009,both,overall,28081.5,,,,28081.5
2009,both,bumi_malay,14031.5,,,,
2009,both,bumi_other,3261.6,,,,
2009,both,chinese,6372.6,,,,
2009,both,indian,1904.6,,,,
2009,both,other_citizen,278,,,,
2009,both,other_noncitizen,2233.2,,,,
2009,female,overall,13624.6,,,,
2009,female,bumi_malay,6963.6,,,,
2009,female,bumi_other,1608.8,,,,
2009,female,chinese,3089.2,,,,
2009,female,indian,948.4,,,,
2009,female,other_citizen,135.9,,,,
2009,female,other_noncitizen,878.7,,,,
2009,male,overall,14456.9,,,,
2009,male,bumi_malay,7068,,,,
2009,male,bumi_other,1652.8,,,,
2009,male,chinese,3283.2,,,,
2009,male,indian,956.2,,,,
2009,male,other_citizen,142.2,,,,
2009,male,other_noncitizen,1354.5,,,,
2010,both,overall,28588.6,,,,28588.6
2010,both,bumi_malay,14322.1,,,,
2010,both,bumi_other,3354.7,,,,
2010,both,chinese,6430.4,,,,
2010,both,indian,1924.9,,,,
2010,both,other_citizen,232,,,,
2010,both,other_noncitizen,2324.5,,,,
2010,female,overall,13858.1,,,,
2010,female,bumi_malay,7107,,,,
2010,female,bumi_other,1654.6,,,,
2010,female,chinese,3116.4,,,,
2010,female,indian,958.7,,,,
2010,female,other_citizen,113.2,,,,
2010,female,other_noncitizen,908.2,,,,
2010,male,overall,14730.5,,,,
2010,male,bumi_malay,7215.1,,,,
2010,male,bumi_other,1700.1,,,,
2010,male,chinese,3313.9,,,,
2010,male,indian,966.2,,,,
2010,male,other_citizen,118.9,,,,
2010,male,other_noncitizen,1416.3,,,,
2011,both,overall,29062,,,,29062
2011,both,bumi_malay,14551.3,,,,
2011,both,bumi_other,3412.9,,,,
2011,both,chinese,6471.1,,,,
2011,both,indian,1939.7,,,,
2011,both,other_citizen,241.9,,,,
2011,both,other_noncitizen,2445.1,,,,
2011,female,overall,14082,,,,
2011,female,bumi_malay,7222.1,,,,
2011,female,bumi_other,1683.7,,,,
2011,female,chinese,3137.3,,,,
2011,female,indian,966.8,,,,
2011,female,other_citizen,117.9,,,,
2011,female,other_noncitizen,954.2,,,,
2011,male,overall,14980,,,,
2011,male,bumi_malay,7329.2,,,,
2011,male,bumi_other,1729.2,,,,
2011,male,chinese,3333.8,,,,
2011,male,indian,972.9,,,,
2011,male,other_citizen,124,,,,
2011,male,other_noncitizen,1490.9,,,,
2012,both,overall,29510,,,,29510
2012,both,bumi_malay,14780.3,,,,
2012,both,bumi_other,3469.6,,,,
2012,both,chinese,6510.7,,,,
2012,both,indian,1952,,,,
2012,both,other_citizen,249.1,,,,
2012,both,other_noncitizen,2548.3,,,,
2012,female,overall,14294.7,,,,
2012,female,bumi_malay,7335.7,,,,
2012,female,bumi_other,1710.9,,,,
2012,female,chinese,3158.5,,,,
2012,female,indian,973.7,,,,
2012,female,other_citizen,121.4,,,,
2012,female,other_noncitizen,994.5,,,,
2012,male,overall,15215.3,,,,
2012,male,bumi_malay,7444.5,,,,
2012,male,bumi_other,1758.7,,,,
2012,male,chinese,3352.2,,,,
2012,male,indian,978.4,,,,
2012,male,other_citizen,127.7,,,,
2012,male,other_noncitizen,1553.8,,,,
2013,both,overall,30214,,,,30214
2013,both,bumi_malay,15022.5,,,,
2013,both,bumi_other,3526.9,,,,
2013,both,chinese,6554.4,,,,
2013,both,indian,1965.2,,,,
2013,both,other_citizen,257,,,,
2013,both,other_noncitizen,2888,,,,
2013,female,overall,14609.2,,,,
2013,female,bumi_malay,7456.2,,,,
2013,female,bumi_other,1738.9,,,,
2013,female,chinese,3181.8,,,,
2013,female,indian,981.6,,,,
2013,female,other_citizen,125.5,,,,
2013,female,other_noncitizen,1125.2,,,,
2013,male,overall,15604.8,,,,
2013,male,bumi_malay,7566,,,,
2013,male,bumi_other,1788,,,,
2013,male,chinese,3372.7,,,,
2013,male,indian,983.7,,,,
2013,male,other_citizen,131.5,,,,
2013,male,other_noncitizen,1762.9,,,,
2014,both,overall,30708.5,,,,30708.5
2014,both,bumi_malay,15285.3,,,,
2014,both,bumi_other,3581.5,,,,
2014,both,chinese,6586.2,,,,
2014,both,indian,1977.7,,,,
2014,both,other_citizen,265.5,,,,
2014,both,other_noncitizen,3012.3,,,,
2014,female,overall,14840.7,,,,
2014,female,bumi_malay,7586.2,,,,
2014,female,bumi_other,1767.5,,,,
2014,female,chinese,3199,,,,
2014,female,indian,989.9,,,,
2014,female,other_citizen,129.4,,,,
2014,female,other_noncitizen,1168.7,,,,
2014,male,overall,15867.8,,,,
2014,male,bumi_malay,7699.1,,,,
2014,male,bumi_other,1814.2,,,,
2014,male,chinese,3387.1,,,,
2014,male,indian,987.9,,,,
2014,male,other_citizen,136.1,,,,
2014,male,other_noncitizen,1843.6,,,,
2015,both,overall,31186.1,,,,31186.1
2015,both,bumi_malay,15548.6,,,,
2015,both,bumi_other,3634.1,,,,
2015,both,chinese,6618.8,,,,
2015,both,indian,1986.4,,,,
2015,both,other_citizen,272.1,,,,
2015,both,other_noncitizen,3126.1,,,,
2015,female,overall,15074,,,,
2015,female,bumi_malay,7722,,,,
2015,female,bumi_other,1792.2,,,,
2015,female,chinese,3217,,,,
2015,female,indian,995.5,,,,
2015,female,other_citizen,132.4,,,,
